Constraining,ar6_chapter7,ar6_chapter7,ar6_chapter7,ar6_chapter7,mh_sampler,mh_sampler,mh_sampler,mh_sampler
Sampling,ar6,ar6_orig,mce-2l,s21,ar6,ar6_orig,mce-2l,s21
Sequence,,,,,,,,
539,3391,3107,4413,3134,48517,43949,32532,2159
540,3403,3108,4417,3135,33680,19997,39066,13400
541,3406,3109,4421,3140,3950,23521,44530,6340
542,3413,3111,4439,3142,43374,48273,6297,43599
543,3417,3127,4443,3143,11936,32934,23057,32747
544,3420,3134,4445,3145,338,49142,35489,22660
545,3422,3139,4446,3160,29116,21686,18081,36181
546,3428,3141,4447,3162,46030,49868,45639,5959
547,3429,3142,4453,3163,46745,638,23838,28230
548,3470,3162,4458,3170,14318,33761,9649,9144
549,3471,3182,4460,3180,27999,6660,36945,9184
550,3473,3184,4470,3186,28871,6660,344,4834
551,3479,3201,4479,3192,1639,34567,24777,23285
552,3485,3221,4510,3197,25300,17252,2117,39681
553,3486,3237,4515,3200,34480,49916,45161,31594
554,3487,3244,4521,3207,47798,41862,22406,33664
555,3491,3256,4540,3215,41483,2984,48746,44837
556,3496,3259,4548,3222,36649,32083,47712,46805
557,3511,3261,4549,3225,22393,32743,9723,19208
558,3517,3263,4575,3233,16386,21733,35544,5123
559,3518,3267,4576,3241,41304,45803,47252,40488
560,3519,3272,4578,3246,19909,35244,14938,16004
561,3521,3277,4584,3247,41483,38245,15655,15173
562,3524,3285,4617,3252,7266,32083,30980,6634
563,3530,3290,4633,3263,20974,26806,28560,6222
564,3533,3292,4647,3274,48699,13731,38857,20600
565,3537,3296,4653,3277,8325,8813,15605,44901
566,3541,3300,4659,3285,3855,2644,21664,10950
567,3554,3302,4669,3295,25251,39042,1081,36331
568,3560,3304,4672,3299,41483,39220,40990,14615
569,3565,3310,4679,3300,35199,34795,17997,7466
570,3578,3320,4695,3317,49048,19099,36459,18139
571,3586,3327,4699,3318,23962,10260,17311,28871
572,3600,3333,4701,3322,915,13864,15342,34640
573,3604,3342,4734,3327,35318,34914,29428,48309
574,3609,3344,4735,3328,48967,47156,39241,488
575,3628,3346,4738,3346,35773,28440,18020,29765
576,3643,3348,4740,3369,2205,1891,3419,33582
577,3645,3351,4753,3379,1221,9786,2534,40973
578,3646,3355,4766,3383,46210,40564,38950,28785
579,3647,3360,4768,3388,31564,47055,24438,49407
580,3654,3368,4790,3391,9496,11259,33830,30613
581,3656,3371,4806,3393,9785,7568,44353,15072
582,3657,3381,4809,3395,31499,38581,37883,30047
583,3659,3385,4812,3396,13353,38256,28879,40039
584,3663,3387,4819,3400,2867,36058,41101,42289
585,3666,3392,4838,3412,18573,1419,3419,22889
586,3677,3394,4851,3413,21144,9562,32910,19992
587,3678,3395,4852,3417,36244,14582,34228,5160
588,3681,3400,4857,3419,45473,26776,45409,38964
589,3685,3402,4863,3420,15843,29922,31176,34014
590,3689,3413,4885,3421,26084,32067,3912,49595
591,3691,3423,4926,3422,28811,3888,1865,17288
592,3704,3424,4937,3424,29228,2605,27636,14772
593,3705,3429,4939,3426,40862,48301,15954,10999
594,3706,3441,4940,3438,25782,49564,12373,21818
595,3707,3460,4942,3444,46701,11904,8243,36618
596,3724,3477,4957,3451,44151,32570,46505,4038
597,3727,3481,4961,3458,30470,11207,41679,47393
598,3736,3483,4983,3462,6294,32012,8265,37515
599,3741,3489,4989,3471,44240,30559,20166,4269
