Constraining,ar6_chapter7,ar6_chapter7,ar6_chapter7,ar6_chapter7,mh_sampler,mh_sampler,mh_sampler,mh_sampler
Sampling,ar6,ar6_orig,mce-2l,s21,ar6,ar6_orig,mce-2l,s21
Sequence,,,,,,,,
139,890,826,1240,774,17737,17710,12825,35230
140,891,829,1241,782,15260,49617,19193,29620
141,892,832,1246,786,5089,36425,22406,13334
142,901,835,1289,806,37668,49617,48935,7474
143,904,836,1293,808,45567,33585,22331,24830
144,907,852,1294,810,13885,37655,18454,45927
145,915,853,1304,822,31612,41138,4378,41600
146,941,863,1308,825,20174,354,10119,1099
147,942,865,1313,826,23259,34408,36909,43331
148,949,869,1329,830,28142,10860,38217,39269
149,952,878,1331,839,28339,40564,20046,6627
150,963,892,1335,847,11985,40025,22406,13234
151,966,896,1342,862,26245,10708,27127,17547
152,969,899,1345,869,46099,33824,2623,15026
153,972,924,1352,870,10513,27417,40159,12019
154,979,925,1354,873,19292,2253,25961,31227
155,984,930,1359,891,33211,41931,21493,22133
156,987,931,1381,892,34466,5965,28283,9240
157,990,933,1395,897,32321,24069,43639,21818
158,1000,939,1401,904,40187,8325,15141,7044
159,1007,946,1402,910,47045,42373,34661,41565
160,1017,947,1416,914,10967,5045,20406,21487
161,1021,959,1423,924,28767,28115,39273,16981
162,1036,966,1425,926,30840,3489,42989,25398
163,1042,975,1429,930,19272,13333,45704,20996
164,1049,979,1435,934,46099,10220,12143,35864
165,1057,982,1442,937,30470,25899,37482,19158
166,1059,984,1449,946,20713,49473,24557,34776
167,1063,985,1468,952,15376,15286,35319,7272
168,1074,990,1471,959,32455,13248,13975,27805
169,1075,992,1473,972,20156,6296,38034,40098
170,1088,996,1484,977,19139,11013,6482,17487
171,1093,1007,1487,982,6656,37537,9827,45853
172,1099,1011,1495,987,29607,27624,23373,37238
173,1100,1022,1505,988,41221,25148,8935,8173
174,1108,1025,1512,990,11664,26116,13975,8502
175,1133,1035,1516,996,35974,24209,12693,30304
176,1136,1063,1524,999,5685,1822,35741,40060
177,1141,1069,1527,1007,16192,35442,6482,5778
178,1147,1070,1536,1013,38683,24749,13975,31423
179,1153,1074,1538,1022,35708,16799,40727,44760
180,1154,1075,1542,1033,9712,40699,7966,31209
